PUBLICATION_DATE,UID,lat,lon,DATE_COL,SITE_ID,SITE_USE,STATE,REGION,VISIT_NO,SAMPLE_TYPE,COND,COND_USEABILITY,NH3,NH3_USEABILITY,NO3NO2,NO3NO2_USEABILITY,PH,PH_USEABILITY,TKN,TKN_USEABILITY,TN,TN_USEABILITY,TP,TP_USEABILITY,CONDUCTIVITY_FIELD,PH_FIELD
7/28/2016,5410,36.69725,-88.05756,6/28/2011,NWCA11-1581,NWCA_PROBABILITY,KY,SAP,1,CHEM,147,"USE - field & lab, no issues",0.005,USE,0.063,USE - no issues,7.87,USE,,,0.3,USE - no issues,35,USE - no issues,180.1,8.25
7/28/2016,5411,30.73723,-81.4763,6/29/2011,NWCA11-1381,NWCA_PROBABILITY,GA,CPL,1,CHEM,43870,"USE - field & lab, no issues",0.084,USE,0.007,USE - no issues,7.32,USE,,,0.854,USE - no issues,237,USE - no issues,41900,6.43
7/28/2016,5412,33.13089,-82.07401,4/20/2011,NWCA11-1382,NWCA_PROBABILITY,GA,CPL,1,CHEM,52.11,"USE - only lab, no issues",0.103,USE,0.014,USE - account for <DL/LRL,6.3,USE,,,1.159,USE - no issues,152,USE - no issues,,
7/28/2016,5414,31.94762493,-81.05878563,8/17/2011,NWCA11-1385,NWCA_PROBABILITY,GA,CPL,1,CHEM,47090,"USE - only lab, no issues",0,USE,0.039,USE - no issues,7.69,USE,,,0.678,USE - no issues,105,USE - no issues,,
7/28/2016,5418,30.86519408,-81.56447473,6/15/2011,NWCA11-1393,NWCA_PROBABILITY,GA,CPL,1,CHEM,53580,"USE - field & lab, no issues",0.041,USE,0.014,USE - no issues,7.67,USE,,,0.559,USE - no issues,69,USE - no issues,49400,7.3
7/28/2016,5419,31.50834,-81.2093,7/21/2011,NWCA11-1395,NWCA_PROBABILITY,GA,CPL,1,CHEM,48990,"USE - field & lab, no issues",0.123,USE,0.031,USE - no issues,7.61,USE,,,0.875,USE - no issues,233,USE - no issues,47400,7.08
7/28/2016,5420,31.90928513,-80.97698554,7/13/2011,NWCA11-1396,NWCA_PROBABILITY,GA,CPL,1,CHEM,50050,"USE - field & lab, no issues",0.018,USE,0.016,USE - no issues,7.46,USE,,,0.616,USE - no issues,180,USE - no issues,48000,7
7/28/2016,5421,30.82546009,-81.52091961,6/28/2011,NWCA11-1397,NWCA_PROBABILITY,GA,CPL,1,CHEM,50460,"USE - field & lab, no issues",0.065,USE,0.025,USE - no issues,7.72,USE,,,0.44,USE - no issues,65,USE - no issues,49100,7.2
7/28/2016,5431,31.55081,-81.36254,6/8/2011,NWCA11-1400,NWCA_PROBABILITY,GA,CPL,1,CHEM,46120,"USE - field & lab, no issues",0.093,USE,0.013,USE - no issues,7.57,USE,,,0.6,USE - no issues,146,USE - no issues,43300,6.98
7/28/2016,5432,31.96789,-81.0222,6/14/2011,NWCA11-1401,NWCA_PROBABILITY,GA,CPL,1,CHEM,48840,"USE - field & lab, no issues",0.111,USE,0.018,USE - no issues,7.55,USE,,,0.914,USE - no issues,175,USE - no issues,44800,6.92
