PUBLICATION_DATE,UID,lat,lon,DATE_COL,SITE_ID,SITE_USE,STATE,REGION,VISIT_NO,SAMPLE_TYPE,COND,COND_USEABILITY,NH3,NH3_USEABILITY,NO3NO2,NO3NO2_USEABILITY,PH,PH_USEABILITY,TKN,TKN_USEABILITY,TN,TN_USEABILITY,TP,TP_USEABILITY,CONDUCTIVITY_FIELD,PH_FIELD
7/28/2016,5605,43.43796,-71.84586,7/21/2011,NWCA11-2172,NWCA_PROBABILITY,NH,NAP,1,CHEM,39.41,"USE - only lab, no issues",0.009,USE,0.01,USE - account for <DL/LRL,6.3,USE,,,0.165,USE - no issues,19,USE - no issues,,
7/28/2016,5606,43.06180678,-70.73302785,8/24/2011,NWCA11-2175,NWCA_PROBABILITY,NH,NAP,1,CHEM,44970,"USE - only lab, no issues",0.012,USE,0.006,USE - no issues,7.55,USE,,,0.745,USE - no issues,88,USE - no issues,,
7/28/2016,5607,43.431036,-71.822638,9/1/2011,NWCA11-2176,NWCA_PROBABILITY,NH,NAP,1,CHEM,21.04,"USE - only lab, no issues",0.007,USE,0.012,USE - account for <DL/LRL,6.76,USE,,,0.19,USE - no issues,6,USE - no issues,,
7/28/2016,5608,43.04554,-71.19346,7/13/2011,NWCA11-2177,NWCA_PROBABILITY,NH,NAP,1,CHEM,113,"USE - field & lab, no issues",0.055,USE,0.069,USE - no issues,6.72,USE,,,0.993,USE - no issues,98,USE - no issues,112,5.73
7/28/2016,5609,39.27144,-119.94332,8/2/2011,NWCA11-2243,NWCA_PROBABILITY,NV,WMT,1,CHEM,202.7,"USE - only lab, no issues",0.008,USE,0.036,USE - no issues,7.65,USE,,,0.13,USE - no issues,61,USE - no issues,,
7/28/2016,5611,39.49844,-119.74454,8/6/2011,NWCA11-2246,NWCA_PROBABILITY,NV,XER,1,CHEM,105,"USE - only lab, flag issue minor",0.021,USE,0.006,USE - account for <DL/LRL,7.46,USE,,,0.273,USE - flag issue minor,44,USE - flag issue minor,,
7/28/2016,5620,48.47729,-113.37353,7/19/2011,NWCA11-R201,NWCA_NOT_PROBABILITY,MT,WMT,1,CHEM,53.53,"USE - field & lab, no issues",0.004,USE,0.02,USE - no issues,7.06,USE,,,0.283,USE - no issues,28,USE - no issues,55.9,8.1
7/28/2016,5621,48.13471,-105.41816,6/24/2011,NWCA11-R121,NWCA_NOT_PROBABILITY,MT,NPL,1,CHEM,1504,"USE - field & lab, flag issue minor",0.024,USE,0,USE - account for <DL/LRL,8.16,USE,,,1.07,USE - flag issue minor,165,USE - flag issue minor,1413,8.1
7/28/2016,5622,48.96783,-108.48048,6/26/2011,NWCA11-R019,NWCA_NOT_PROBABILITY,MT,NPL,1,CHEM,62.32,"USE - field & lab, no issues",0.021,USE,0.011,USE - account for <DL/LRL,6.64,USE,,,3.233,USE - no issues,568,USE - no issues,57,8
7/28/2016,5623,48.98042,-108.626798,6/28/2011,NWCA11-R020,NWCA_NOT_PROBABILITY,MT,NPL,1,CHEM,48.39,"USE - field & lab, flag issue minor",0.022,USE,0.007,USE - account for <DL/LRL,6.7,USE,,,1.086,USE - flag issue minor,149,USE - flag issue minor,43.1,8.5
7/28/2016,5633,27.84147,-80.56868,9/9/2011,NWCA11-R028,NWCA_NOT_PROBABILITY,FL,CPL,1,CHEM,66.57,"USE - only lab, flag issue minor",0.052,USE,0.006,USE - account for <DL/LRL,6.44,USE,,,2.47,USE - flag issue minor,64,USE - flag issue minor,,
7/28/2016,5635,36.74187,-88.85434,9/22/2011,NWCA11-R031,NWCA_NOT_PROBABILITY,KY,CPL,1,CHEM,131.6,"USE - only lab, flag issue minor",0.443,USE,0.009,USE - account for <DL/LRL,6.28,USE,,,2.003,USE - flag issue minor,604,USE - flag issue minor,,
7/28/2016,5640,31.19851,-92.56514,6/5/2011,NWCA11-R037,NWCA_NOT_PROBABILITY,LA,CPL,1,CHEM,40.83,"USE - only lab, no issues",0.005,USE,0.007,USE - account for <DL/LRL,6.88,USE,,,0.155,USE - no issues,57,USE - no issues,,
7/28/2016,5642,43.02182,-93.42311,7/27/2011,NWCA11-R041,NWCA_NOT_PROBABILITY,IA,TPL,1,CHEM,381,"USE - field & lab, no issues",1.337,USE,0.006,USE - account for <DL/LRL,7.42,USE,,,7.944,USE - no issues,1470,USE - no issues,440,7.18
7/28/2016,5643,46.55181,-92.73373,6/24/2011,NWCA11-R042,NWCA_NOT_PROBABILITY,MN,UMW,1,CHEM,43.34,"USE - only lab, no issues",0.025,USE,0.033,USE - flag issue minor,6.71,USE,,,0.929,USE - no issues,53,USE - no issues,,
7/28/2016,5644,48.66959,-102.40417,6/21/2011,NWCA11-R043,NWCA_NOT_PROBABILITY,ND,NPL,1,CHEM,715.6,"USE - only lab, flag issue minor",0.021,USE,0.007,USE - account for <DL/LRL,8,USE,,,0.906,USE - flag issue minor,54,USE - flag issue minor,,
7/28/2016,5646,31.98383,-92.90451,6/28/2011,NWCA11-R051,NWCA_NOT_PROBABILITY,LA,CPL,1,CHEM,49.5,"USE - only lab, no issues",0.005,USE,0.011,USE - account for <DL/LRL,5.4,USE,,,0.549,USE - no issues,40,USE - no issues,,
7/28/2016,5655,39.27142,-119.94345,8/12/2011,NWCA11-2243,NWCA_REVISITS,NV,WMT,2,CHEM,194.4,"USE - only lab, no issues",0.004,USE,0.031,USE - no issues,7.78,USE,,,0.083,USE - no issues,66,USE - no issues,,
7/28/2016,5657,44.62418921,-71.44528876,9/15/2011,NWCA11-2167,NWCA_REVISITS,NH,NAP,2,CHEM,25.95,"USE - only lab, flag issue minor",0.005,USE,0.007,USE - account for <DL/LRL,6.22,USE,,,0.228,USE - flag issue minor,18,USE - flag issue minor,,
7/28/2016,5665,46.3599,-92.1802,6/25/2011,NWCA11-R050,NWCA_NOT_PROBABILITY,WI,UMW,1,CHEM,37.38,"USE - only lab, flag issue minor",0.029,USE,0.028,USE - flag issue minor,4.28,USE,,,1.199,USE - flag issue minor,53,USE - flag issue minor,,
7/28/2016,5667,44.36568,-95.97195,6/16/2011,NWCA11-R054,NWCA_NOT_PROBABILITY,MN,TPL,1,CHEM,407.6,"USE - only lab, no issues",0.059,USE,0.028,USE - no issues,8.35,USE,,,1.063,USE - no issues,65,USE - no issues,,
7/28/2016,5668,42.4577,-100.5391,7/21/2011,NWCA11-R055,NWCA_NOT_PROBABILITY,NE,SPL,1,CHEM,461.9,"USE - only lab, flag issue minor",0.424,USE,0,USE - account for <DL/LRL,7.37,USE,,,8.525,USE - flag issue minor,885,USE - flag issue minor,,
7/28/2016,5669,48.858,-100.1277,6/22/2011,NWCA11-R056,NWCA_NOT_PROBABILITY,ND,TPL,1,CHEM,495.4,"USE - only lab, no issues",0.046,USE,0.043,USE - flag issue minor,8.25,USE,,,1.258,USE - no issues,129,USE - no issues,,
7/28/2016,5671,43.26011,-93.55391,7/28/2011,NWCA11-R059,NWCA_NOT_PROBABILITY,IA,TPL,1,CHEM,325.3,"USE - field & lab, no issues",0.915,USE,0.007,USE - account for <DL/LRL,7.28,USE,,,30.5,USE - no issues,3446,USE - no issues,230,8.17
7/28/2016,5672,36.68411,-87.02784,9/23/2011,NWCA11-R060,NWCA_NOT_PROBABILITY,KY,SAP,1,CHEM,48.08,"USE - only lab, flag issue minor",0.01,USE,0.018,USE - account for <DL/LRL,5.09,USE,,,1.22,USE - flag issue minor,109,USE - flag issue minor,,
7/28/2016,5673,42.8487,-98.8451,7/24/2011,NWCA11-R061,NWCA_NOT_PROBABILITY,NE,NPL,1,CHEM,452.4,"USE - only lab, no issues",0.201,USE,0.007,USE - account for <DL/LRL,6.88,USE,,,19.925,USE - no issues,7364,USE - no issues,400,7.13
7/28/2016,5674,40.56611,-83.623056,9/27/2011,NWCA11-R062,NWCA_NOT_PROBABILITY,OH,TPL,1,CHEM,120.5,"USE - only lab, no issues",0.02,USE,0.007,USE - account for <DL/LRL,7.08,USE,,,0.99,USE - no issues,141,USE - no issues,,
7/28/2016,5675,47.49156,-110.71475,7/28/2011,NWCA11-R063,NWCA_NOT_PROBABILITY,MT,NPL,1,CHEM,442.1,"USE - field & lab, flag issue minor",0.012,USE,0.007,USE - account for <DL/LRL,7.53,USE,,,0.393,USE - flag issue minor,115,USE - flag issue minor,375.4,8.2
7/28/2016,5677,41.93385,-97.2847,7/25/2011,NWCA11-R066,NWCA_NOT_PROBABILITY,NE,TPL,1,CHEM,281.5,"USE - field & lab, no issues",0.027,USE,0.007,USE - account for <DL/LRL,9.19,USE,,,2.513,USE - no issues,1654,USE - no issues,260,7.81
7/28/2016,5679,25.89391,-81.45987,6/11/2011,NWCA11-R073,NWCA_NOT_PROBABILITY,FL,CPL,1,CHEM,55740,"USE - only lab, flag issue minor",0.048,USE,0.013,USE - flag issue minor,7.93,USE,,,0.363,USE - flag issue minor,72,USE - flag issue minor,,
7/28/2016,5680,25.72468,-80.75384,9/11/2011,NWCA11-R074,NWCA_NOT_PROBABILITY,FL,CPL,1,CHEM,284,"USE - only lab, no issues",0.023,USE,0.008,USE - account for <DL/LRL,8.16,USE,,,0.813,USE - no issues,18,USE - no issues,,
7/28/2016,5681,29.6178,-89.78756,6/24/2011,NWCA11-R076,NWCA_NOT_PROBABILITY,LA,CPL,1,CHEM,3126,"USE - only lab, flag issue minor",0.01,USE,0,USE - account for <DL/LRL,8.55,USE,,,1.184,USE - flag issue minor,114,USE - flag issue minor,,
7/28/2016,5682,26.05011,-81.73795,6/10/2011,NWCA11-R077,NWCA_NOT_PROBABILITY,FL,CPL,1,CHEM,60890,"USE - only lab, flag issue minor",0.686,USE,0.011,USE - flag issue minor,7.16,USE,,,2.744,USE - flag issue minor,46,USE - flag issue minor,,
7/28/2016,5690,44.42736,-98.20573,7/30/2011,NWCA11-2495,NWCA_REVISITS,SD,TPL,2,CHEM,1006,"USE - field & lab, flag issue minor",0.042,USE,0,USE - account for <DL/LRL,7.62,USE,,,3.515,USE - flag issue minor,688,USE - flag issue minor,730,7.8
7/28/2016,5696,44.42734,-98.20573,6/23/2011,NWCA11-2495,NWCA_PROBABILITY,SD,TPL,1,CHEM,999,"USE - field & lab, no issues",0.027,USE,0,USE - account for <DL/LRL,7.93,USE,,,1.306,USE - no issues,742,USE - no issues,1050,8.2
7/28/2016,5697,44.42027,-98.20148,6/24/2011,NWCA11-2500,NWCA_PROBABILITY,SD,TPL,1,CHEM,1227,"USE - field & lab, no issues",0.089,USE,0,USE - account for <DL/LRL,7.64,USE,,,2.07,USE - no issues,336,USE - no issues,1280,8.1
7/28/2016,5698,43.87269009,-96.9751506,7/29/2011,NWCA11-2502,NWCA_PROBABILITY,SD,TPL,1,CHEM,405,"USE - field & lab, flag issue minor",0.037,USE,0,USE - account for <DL/LRL,7.58,USE,,,1.935,USE - flag issue minor,1029,USE - flag issue minor,310,7.47
7/28/2016,5706,36.39512,-89.3587,7/21/2011,NWCA11-2514,NWCA_PROBABILITY,TN,CPL,1,CHEM,293.1,"USE - only lab, flag issue minor",0.128,USE,0.006,USE - account for <DL/LRL,6.99,USE,,,2.223,USE - flag issue minor,625,USE - flag issue minor,,
7/28/2016,5707,35.07773,-88.30952,7/23/2011,NWCA11-2515,NWCA_PROBABILITY,TN,CPL,1,CHEM,56.21,"USE - only lab, flag issue minor",0.147,USE,0.006,USE - account for <DL/LRL,6.28,USE,,,1.88,USE - flag issue minor,589,USE - flag issue minor,,
7/28/2016,5709,36.38257,-89.38823,7/20/2011,NWCA11-2518,NWCA_PROBABILITY,TN,CPL,1,CHEM,191,"USE - only lab, no issues",0.02,USE,0.076,USE - no issues,9.32,USE,,,2.243,USE - no issues,255,USE - no issues,,
7/28/2016,5713,36.38097908,-89.38567764,7/26/2011,NWCA11-2526,NWCA_PROBABILITY,TN,CPL,1,CHEM,316.7,"USE - only lab, no issues",2.086,USE,0.011,USE - account for <DL/LRL,6.85,USE,,,5.875,USE - no issues,912,USE - no issues,,
7/28/2016,5718,29.07962,-95.20652,7/7/2011,NWCA11-2540,NWCA_PROBABILITY,TX,CPL,1,CHEM,73660,"USE - field & lab, no issues",0.027,USE,0.005,USE - no issues,8.49,USE,,,4.719,USE - no issues,411,USE - no issues,82771,8.26
7/28/2016,5719,29.74708,-94.70205,6/7/2011,NWCA11-2541,NWCA_PROBABILITY,TX,CPL,1,CHEM,13450,"USE - field & lab, no issues",0.067,USE,0.004,USE - no issues,7.51,USE,,,1.706,USE - no issues,856,USE - no issues,13646,7.05
7/28/2016,5726,29.30383781,-94.96554659,6/6/2011,NWCA11-2564,NWCA_PROBABILITY,TX,CPL,1,CHEM,47010,"USE - field & lab, no issues",0.011,USE,0.004,USE - no issues,8.05,USE,,,1.169,USE - no issues,167,USE - no issues,50090,7.71
7/28/2016,5733,29.74599,-94.70657,6/23/2011,NWCA11-2573,NWCA_PROBABILITY,TX,CPL,1,CHEM,18880,"USE - field & lab, no issues",1.227,USE,0.018,USE - no issues,7.31,USE,,,2.975,USE - no issues,1340,USE - no issues,11294,6.75
7/28/2016,5736,29.75308,-94.70433,7/12/2011,NWCA11-2589,NWCA_PROBABILITY,TX,CPL,1,CHEM,26120,"USE - field & lab, no issues",0.037,USE,0.01,USE - flag issue minor,8.01,USE,,,1.748,USE - no issues,328,USE - no issues,26750,7.86
7/28/2016,5738,29.74861,-94.70134,9/8/2011,NWCA11-2593,NWCA_PROBABILITY,TX,CPL,1,CHEM,31680,"USE - field & lab, no issues",0.009,USE,0.004,USE - no issues,8.41,USE,,,1.73,USE - no issues,423,USE - no issues,33310,8.27
7/28/2016,5739,38.493,-112.0165,7/26/2011,NWCA11-2612,NWCA_PROBABILITY,UT,WMT,1,CHEM,124.8,"USE - field & lab, no issues",0.007,USE,0.072,USE - no issues,7.95,USE,,,0.408,USE - no issues,148,USE - no issues,116.3,7.58
7/28/2016,5740,38.493,-112.0165,8/30/2011,NWCA11-2612,NWCA_REVISITS,UT,WMT,2,CHEM,165.6,"USE - field & lab, no issues",0.009,USE,0.082,USE - no issues,7.91,USE,,,0.305,USE - no issues,129,USE - no issues,151.8,7.77
7/28/2016,5741,41.52811,-111.79499,7/21/2011,NWCA11-2619,NWCA_PROBABILITY,UT,XER,1,CHEM,358.5,"USE - field & lab, flag issue minor",0.005,USE,0.103,USE - flag issue minor,8.26,USE,,,0.263,USE - flag issue minor,25,USE - flag issue minor,371.2,7.9
7/28/2016,5742,41.52811,-111.79499,9/6/2011,NWCA11-2619,NWCA_REVISITS,UT,XER,2,CHEM,374.9,"USE - field & lab, no issues",0.009,USE,0.146,USE - no issues,8.09,USE,,,0.238,USE - no issues,15,USE - no issues,377.9,7.91
7/28/2016,5743,38.53447,-111.86838,7/28/2011,NWCA11-2620,NWCA_PROBABILITY,UT,WMT,1,CHEM,200.8,"USE - field & lab, no issues",0.013,USE,0.068,USE - no issues,8.06,USE,,,0.265,USE - no issues,105,USE - no issues,202,7.77
7/28/2016,5744,38.48344,-112.0331,8/2/2011,NWCA11-2623,NWCA_PROBABILITY,UT,WMT,1,CHEM,123.7,"USE - only lab, no issues",0.009,USE,0.906,USE - no issues,7.84,USE,,,1.175,USE - no issues,117,USE - no issues,,
7/28/2016,5745,40.4241,-112.45658,9/7/2011,NWCA11-2628,NWCA_PROBABILITY,UT,XER,1,CHEM,658.1,"USE - field & lab, no issues",0.034,USE,0.654,USE - no issues,8.15,USE,,,1.055,USE - no issues,151,USE - no issues,669.4,8.04
7/28/2016,5746,37.91254023,-75.68068678,6/21/2011,NWCA11-2632,NWCA_PROBABILITY,VA,CPL,1,CHEM,8899,"USE - only lab, no issues",1.241,USE,0.005,USE - no issues,3.67,USE,,,2.638,USE - flag issue minor,55,USE - no issues,,
7/28/2016,5750,37.56526,-75.60793,6/29/2011,NWCA11-2655,NWCA_PROBABILITY,VA,CPL,1,CHEM,7580,"USE - only lab, no issues",0.141,USE,0.012,USE - account for <DL/LRL,7.52,USE,,,3.188,USE - no issues,539,USE - no issues,,
7/28/2016,5751,37.98275,-76.57113,7/21/2011,NWCA11-2656,NWCA_PROBABILITY,VA,CPL,1,CHEM,101.8,"USE - only lab, no issues",0.044,USE,1.177,USE - no issues,6.79,USE,,,1.475,USE - no issues,93,USE - no issues,,
7/28/2016,5753,37.9067567,-75.66723178,6/22/2011,NWCA11-2660,NWCA_PROBABILITY,VA,CPL,1,CHEM,18660,"USE - only lab, no issues",0.027,USE,0.007,USE - no issues,7.27,USE,,,0.781,USE - no issues,33,USE - no issues,,
7/28/2016,5755,37.31686,-76.27977,7/14/2011,NWCA11-2667,NWCA_PROBABILITY,VA,CPL,1,CHEM,25700,"USE - only lab, no issues",0.002,USE,0.002,USE - account for <DL/LRL,7.79,USE,,,0.403,USE - no issues,27,USE - no issues,,
7/28/2016,5756,37.99374203,-76.57673454,7/28/2011,NWCA11-2670,NWCA_PROBABILITY,VA,CPL,1,CHEM,95.77,"USE - only lab, no issues",0.108,USE,1.054,USE - no issues,6.66,USE,,,1.625,USE - no issues,71,USE - no issues,,
7/28/2016,5757,47.410459,-119.099919,8/16/2011,NWCA11-2718,NWCA_PROBABILITY,WA,XER,1,CHEM,800.9,"USE - only lab, no issues",0.088,USE,0,USE - account for <DL/LRL,8.26,USE,,,4.508,USE - no issues,1212,USE - no issues,,
7/28/2016,5759,39.10722,-81.41793,5/16/2011,NWCA11-2764,NWCA_PROBABILITY,WV,SAP,1,CHEM,123.8,"USE - field & lab, no issues",0.027,USE,0.014,USE - account for <DL/LRL,7.66,USE,,,0.826,USE - no issues,67,USE - no issues,181,7.92
7/28/2016,5760,38.68726,-79.76964,7/6/2011,NWCA11-2765,NWCA_PROBABILITY,WV,SAP,1,CHEM,27.4,"USE - field & lab, no issues",0.009,USE,0.066,USE - no issues,6.94,USE,,,0.28,USE - no issues,44,USE - no issues,31,5.25
7/28/2016,5764,38.67641,-79.76649,6/28/2011,NWCA11-2780,NWCA_PROBABILITY,WV,SAP,1,CHEM,26,"USE - field & lab, no issues",0.002,USE,0.209,USE - no issues,6.83,USE,,,0.239,USE - no issues,14,USE - no issues,26,5.86
7/28/2016,5767,31.96026285,-82.45207506,5/18/2011,NWCA11-1383,NWCA_PROBABILITY,GA,CPL,1,CHEM,105.8,"USE - only lab, no issues",3.682,USE,0.013,USE - account for <DL/LRL,6.66,USE,,,4.683,USE - no issues,347,USE - no issues,,
7/28/2016,5774,41.39218,-107.03845,6/18/2011,NWCA11-2795,NWCA_PROBABILITY,WY,XER,1,CHEM,306.5,"USE - only lab, no issues",0.01,USE,0.014,USE - account for <DL/LRL,7.1,USE,,,0.438,USE - no issues,147,USE - no issues,,
7/28/2016,5776,36.3616,-90.5789,7/7/2011,NWCA11-2847,NWCA_PROBABILITY,AR,CPL,1,CHEM,,REJECT - no usable value,0.0879,USE,0.035,USE - account for <DL/LRL,,REJECT,,REJECT - no usable value,0.309,REJECT - analyte not TN,110,REJECT - analyte not TP,,
7/28/2016,5781,36.11837075,-121.4661872,9/19/2011,NWCA11-2917,NWCA_PROBABILITY,CA,XER,1,CHEM,247,"USE - only lab, no issues",,REJECT,0.0084,USE - no issues,7.3,USE,0.381,USE - no issues,,NOVALUE - use TKN+NO3NO2,41.3,USE - no issues,,
7/28/2016,5782,38.16413492,-122.5532047,7/7/2011,NWCA11-2918,NWCA_PROBABILITY,CA,XER,1,CHEM,20700,"USE - only lab, no issues",0.008,USE,0.002,USE - account for <DL/LRL,7.42,USE,,,0.663,USE - no issues,176,USE - no issues,,
7/28/2016,5783,38.13935,-122.33903,6/23/2011,NWCA11-2921,NWCA_PROBABILITY,CA,XER,1,CHEM,11690,"USE - only lab, no issues",0.87,USE,0.018,USE - no issues,3.6,USE,,,1.828,USE - no issues,7,USE - no issues,,
7/28/2016,5784,37.52056,-122.22011,10/4/2011,NWCA11-2922,NWCA_PROBABILITY,CA,XER,1,CHEM,42600,"USE - only lab, no issues",,REJECT,0.316,USE - no issues,7.8,USE,0.448,USE - no issues,,NOVALUE - use TKN+NO3NO2,254,USE - no issues,,
7/28/2016,5787,38.17745302,-122.5431308,7/11/2011,NWCA11-2940,NWCA_PROBABILITY,CA,XER,1,CHEM,19760,"USE - only lab, no issues",0.009,USE,0.01,USE - no issues,7.7,USE,,,0.68,USE - no issues,239,USE - no issues,,
7/28/2016,5788,37.24226,-120.83847,6/27/2011,NWCA11-2941,NWCA_PROBABILITY,CA,XER,1,CHEM,1531,"USE - only lab, no issues",0.029,USE,0,USE - account for <DL/LRL,7.78,USE,,,3.498,USE - no issues,378,USE - no issues,,
7/28/2016,5790,38.13470032,-122.3598675,6/22/2011,NWCA11-2947,NWCA_PROBABILITY,CA,XER,1,CHEM,16310,"USE - only lab, no issues",0.006,USE,0.002,USE - account for <DL/LRL,7.39,USE,,,0.861,USE - no issues,89,USE - no issues,,
7/28/2016,5791,38.16817,-122.54777,7/9/2011,NWCA11-2949,NWCA_PROBABILITY,CA,XER,1,CHEM,23170,"USE - only lab, flag issue minor",0.076,USE,0.033,USE - flag issue minor,7.58,USE,,,0.928,USE - flag issue minor,248,USE - flag issue minor,,
7/28/2016,5792,40.43365,-103.32913,6/2/2011,NWCA11-2957,NWCA_PROBABILITY,CO,SPL,1,CHEM,856,"USE - only lab, no issues",0.021,USE,0,USE - account for <DL/LRL,7.7,USE,,,0.764,USE - no issues,72,USE - no issues,,
7/28/2016,5802,37.39153,-76.62073,5/31/2011,NWCA11-2633,NWCA_PROBABILITY,VA,CPL,1,CHEM,482.5,"USE - only lab, no issues",0.101,USE,0.1,USE - no issues,7.98,USE,,,0.499,USE - no issues,204,USE - no issues,,
7/28/2016,5805,26.953592,-80.079569,7/20/2011,NWCA11-3051,NWCA_PROBABILITY,FL,CPL,1,CHEM,50280,"USE - field & lab, flag issue minor",0.004,USE,0.003,USE - account for <DL/LRL,7.76,USE,,,0.328,USE - flag issue minor,39,USE - flag issue minor,54094,7.51
7/28/2016,5807,25.82277453,-81.41641982,9/23/2011,NWCA11-3062,NWCA_PROBABILITY,FL,CPL,1,CHEM,33650,"USE - field & lab, flag issue minor",0.039,USE,0.029,USE - flag issue minor,8.01,USE,,,0.763,USE - flag issue minor,44,USE - flag issue minor,38415,7.61
7/28/2016,5815,36.81938,-89.09268,8/11/2011,NWCA11-3383,NWCA_PROBABILITY,KY,CPL,1,CHEM,207.2,"USE - field & lab, no issues",0.501,USE,0.009,USE - account for <DL/LRL,7.15,USE,,,2.195,USE - no issues,728,USE - no issues,219.2,7.65
7/28/2016,5821,36.81239,-89.11836,9/29/2011,NWCA11-3388,NWCA_PROBABILITY,KY,CPL,1,CHEM,377.5,"USE - field & lab, no issues",0.014,USE,0,USE - account for <DL/LRL,7.83,USE,,,1.33,USE - no issues,231,USE - no issues,344,8.21
7/28/2016,5822,38.44964742,-76.28328952,7/13/2011,NWCA11-3568,NWCA_PROBABILITY,MD,CPL,1,CHEM,16860,"USE - only lab, no issues",0.013,USE,0.01,USE - no issues,7.63,USE,,,3.856,USE - no issues,121,USE - no issues,,
7/28/2016,5843,45.98398573,-112.1790407,7/5/2011,NWCA11-3803,NWCA_PROBABILITY,MT,WMT,1,CHEM,79.4,"USE - field & lab, no issues",0.008,USE,0.03,USE - no issues,7.7,USE,,,0.421,USE - no issues,94,USE - no issues,70.9,8.6
7/28/2016,5845,48.59854,-104.5096,6/23/2011,NWCA11-3818,NWCA_PROBABILITY,MT,NPL,1,CHEM,635.1,"USE - field & lab, no issues",0.094,USE,0.015,USE - account for <DL/LRL,8.2,USE,,,1.321,USE - no issues,458,USE - no issues,644,8.5
7/28/2016,5846,45.96649116,-112.3893528,7/6/2011,NWCA11-3821,NWCA_PROBABILITY,MT,WMT,1,CHEM,78.38,"USE - field & lab, no issues",0.014,USE,0.011,USE - account for <DL/LRL,7.07,USE,,,1.8,USE - no issues,268,USE - no issues,87.3,6.6
7/28/2016,5847,44.78698,-97.75655,6/25/2011,NWCA11-4294,NWCA_PROBABILITY,SD,TPL,1,CHEM,3822,"USE - field & lab, no issues",0.558,USE,0.014,USE - account for <DL/LRL,7.41,USE,,,5.131,USE - no issues,1272,USE - no issues,4050,7.71
7/28/2016,5848,45.72972,-99.44994,6/28/2011,NWCA11-4298,NWCA_PROBABILITY,SD,NPL,1,CHEM,205.8,"USE - field & lab, no issues",0.046,USE,0.007,USE - account for <DL/LRL,7.13,USE,,,1.899,USE - no issues,456,USE - no issues,170,9.1
7/28/2016,5849,41.26541,-111.29662,8/31/2011,NWCA11-4411,NWCA_PROBABILITY,UT,WMT,1,CHEM,605.8,"USE - field & lab, no issues",0.379,USE,0.011,USE - account for <DL/LRL,8.06,USE,,,2.328,USE - no issues,576,USE - no issues,583.4,7.94
7/28/2016,5850,38.44095,-112.06094,8/1/2011,NWCA11-4414,NWCA_PROBABILITY,UT,WMT,1,CHEM,187.6,"USE - field & lab, no issues",0.027,USE,0.008,USE - account for <DL/LRL,7.86,USE,,,3.988,USE - no issues,1683,USE - no issues,177.4,7.12
7/28/2016,5851,40.90647,-109.9565,8/24/2011,NWCA11-4419,NWCA_PROBABILITY,UT,WMT,1,CHEM,350.9,"USE - field & lab, no issues",0.011,USE,0.025,USE - no issues,8.17,USE,,,0.165,USE - no issues,24,USE - no issues,329.7,8.03
7/28/2016,5853,38.67603,-79.76723,7/18/2011,NWCA11-4577,NWCA_PROBABILITY,WV,SAP,1,CHEM,31.54,"USE - field & lab, no issues",0.016,USE,0.193,USE - no issues,6.96,USE,,,0.288,USE - no issues,19,USE - no issues,43,5.33
7/28/2016,5854,38.68797,-79.76631,7/20/2011,NWCA11-4581,NWCA_PROBABILITY,WV,SAP,1,CHEM,34.33,"USE - field & lab, no issues",0.025,USE,0.116,USE - no issues,6.99,USE,,,0.403,USE - no issues,50,USE - no issues,50,6
7/28/2016,5855,38.1692299,-122.5330036,7/10/2011,NWCA11-4706,NWCA_PROBABILITY,CA,XER,1,CHEM,19480,"USE - only lab, no issues",0.036,USE,0.045,USE - no issues,7.67,USE,,,0.796,USE - no issues,324,USE - no issues,,
7/28/2016,5856,37.23928,-120.82344,6/8/2011,NWCA11-4708,NWCA_PROBABILITY,CA,XER,1,CHEM,700.9,"USE - only lab, no issues",0.234,USE,0.44,USE - no issues,7.46,USE,,,1.674,USE - no issues,1078,USE - no issues,,
7/28/2016,5857,37.83899027,-122.5164574,9/13/2011,NWCA11-4709,NWCA_PROBABILITY,CA,XER,1,CHEM,191,"USE - only lab, no issues",,REJECT,0.0285,USE - no issues,7.6,USE,0.404,USE - no issues,,NOVALUE - use TKN+NO3NO2,31.3,USE - no issues,,
7/28/2016,5858,38.13321479,-122.3509132,8/2/2011,NWCA11-4713,NWCA_PROBABILITY,CA,XER,1,CHEM,45200,"USE - only lab, no issues",,REJECT,0,USE - account for <DL/LRL,9.5,USE,1.673,USE - no issues,,NOVALUE - use TKN+NO3NO2,341,USE - no issues,,
7/28/2016,5859,34.22929,-119.26109,7/28/2011,NWCA11-4716,NWCA_PROBABILITY,CA,XER,1,CHEM,13360,"USE - only lab, no issues",,REJECT,7.81,USE - no issues,7.8,USE,1.648,USE - no issues,,NOVALUE - use TKN+NO3NO2,1555,USE - no issues,,
7/28/2016,5861,39.21164,-121.94969,9/5/2011,NWCA11-4718,NWCA_PROBABILITY,CA,XER,1,CHEM,1152,"USE - only lab, no issues",,REJECT,0,USE - account for <DL/LRL,7.5,USE,0.618,USE - no issues,,NOVALUE - use TKN+NO3NO2,281,USE - no issues,,
7/28/2016,5862,38.17255247,-122.5564495,7/8/2011,NWCA11-4721,NWCA_PROBABILITY,CA,XER,1,CHEM,20870,"USE - only lab, no issues",0.004,USE,0.002,USE - account for <DL/LRL,7.45,USE,,,0.725,USE - no issues,103,USE - no issues,,
